,Team,PTS,FG,FGA,2PA,3P,3PA,eFG%,ORtg,FTr,3PAr,TS%,FT/FGA,ORtg_opponent,FTr_opponent,3PAr_opponent,TS%_opponent,eFG%_opponent,FT/FGA_opponent
0,ATL,116.18,43.04,90.34,57.86,11.82,32.48,0.54,117.37,0.25,0.36,0.58,0.2,116.44,0.24,0.38,0.58,0.55,0.19
1,BOS,114.85,41.47,88.08,48.23,14.63,39.85,0.55,117.17,0.24,0.45,0.59,0.2,109.99,0.24,0.39,0.55,0.52,0.18
2,BRK,113.13,41.71,86.76,54.0,12.12,32.76,0.55,115.38,0.26,0.38,0.59,0.2,114.5,0.27,0.38,0.56,0.53,0.21
3,CHI,112.37,42.13,86.85,58.0,10.52,28.85,0.55,114.3,0.25,0.33,0.58,0.2,113.85,0.25,0.4,0.58,0.54,0.2
4,CHO,113.14,42.03,90.91,55.55,12.34,35.36,0.53,112.4,0.25,0.39,0.56,0.19,115.29,0.26,0.41,0.58,0.55,0.2
5,CLE,110.02,40.63,84.9,52.74,11.6,32.16,0.55,115.11,0.26,0.38,0.58,0.2,111.24,0.25,0.37,0.56,0.53,0.19
6,DAL,111.12,39.66,84.7,45.52,14.14,39.18,0.55,115.72,0.28,0.46,0.59,0.21,113.91,0.27,0.37,0.57,0.54,0.21
7,DEN,114.26,42.62,86.38,52.83,12.24,33.55,0.57,116.8,0.25,0.39,0.6,0.2,113.96,0.26,0.39,0.57,0.54,0.2
8,DET,107.57,38.86,87.85,54.33,11.34,33.52,0.51,109.16,0.27,0.38,0.55,0.21,117.18,0.3,0.38,0.59,0.55,0.23
9,GSW,114.97,41.84,88.29,47.01,15.48,41.29,0.56,115.21,0.23,0.47,0.59,0.18,111.51,0.27,0.4,0.56,0.53,0.21
10,HOU,110.23,39.99,87.62,52.32,11.96,35.3,0.53,110.71,0.29,0.4,0.56,0.21,118.97,0.27,0.42,0.6,0.56,0.21
11,IND,113.87,41.72,89.53,53.38,12.86,36.15,0.54,114.63,0.25,0.4,0.57,0.2,117.96,0.27,0.37,0.59,0.55,0.22
12,LAC,111.0,40.58,86.76,53.0,12.73,33.76,0.54,113.38,0.25,0.39,0.58,0.2,113.16,0.24,0.38,0.56,0.53,0.18
13,LAL,114.63,42.26,88.88,56.05,11.38,32.83,0.54,113.23,0.28,0.37,0.58,0.21,114.47,0.24,0.39,0.57,0.54,0.18
14,MEM,116.26,43.63,93.23,59.78,11.77,33.45,0.53,115.76,0.25,0.36,0.56,0.19,111.01,0.26,0.4,0.56,0.53,0.2
15,MIA,109.75,39.4,85.03,49.74,12.77,35.29,0.54,114.41,0.27,0.42,0.58,0.22,112.31,0.26,0.44,0.58,0.54,0.21
16,MIL,116.21,42.27,89.89,50.52,14.45,39.37,0.55,116.0,0.26,0.44,0.58,0.19,112.6,0.22,0.41,0.56,0.53,0.17
17,MIN,115.86,42.23,89.18,51.88,13.46,37.3,0.55,114.83,0.26,0.42,0.58,0.2,113.55,0.3,0.4,0.58,0.54,0.23
18,NOP,111.83,41.1,87.76,56.68,10.8,31.08,0.53,114.05,0.27,0.35,0.57,0.22,113.6,0.26,0.42,0.58,0.55,0.21
19,NYK,111.25,39.83,87.79,51.45,12.92,36.34,0.53,115.17,0.28,0.42,0.56,0.21,113.69,0.27,0.42,0.57,0.53,0.21
20,OKC,110.6,40.7,90.85,55.1,12.11,35.75,0.52,110.59,0.24,0.39,0.55,0.19,114.16,0.26,0.42,0.57,0.54,0.2
21,ORL,107.82,39.4,87.28,53.3,11.48,33.98,0.52,108.84,0.26,0.39,0.56,0.2,114.12,0.26,0.42,0.58,0.54,0.21
22,PHI,112.58,40.1,84.16,51.95,12.1,32.21,0.55,116.63,0.29,0.38,0.59,0.24,113.16,0.27,0.39,0.57,0.53,0.21
23,PHO,114.24,42.89,90.1,57.85,11.9,32.26,0.54,115.85,0.24,0.36,0.58,0.19,111.06,0.28,0.38,0.56,0.52,0.22
24,POR,109.74,39.45,86.19,50.15,12.8,36.04,0.53,112.19,0.27,0.42,0.57,0.21,118.82,0.28,0.41,0.6,0.56,0.22
25,SAC,115.51,42.04,88.14,52.88,12.59,35.26,0.55,115.33,0.28,0.4,0.59,0.22,116.88,0.24,0.38,0.59,0.56,0.19
26,SAS,113.1,43.16,92.65,60.54,11.2,32.11,0.53,112.07,0.23,0.35,0.56,0.17,116.98,0.25,0.36,0.59,0.56,0.19
27,TOR,111.19,41.3,91.36,58.21,11.34,33.16,0.52,115.19,0.25,0.36,0.55,0.19,113.29,0.27,0.41,0.59,0.55,0.21
28,UTA,115.34,41.54,88.0,48.93,13.94,39.07,0.55,117.05,0.27,0.45,0.59,0.21,114.47,0.24,0.38,0.57,0.53,0.19
29,WAS,110.89,41.36,86.48,55.3,10.88,31.18,0.54,113.46,0.26,0.36,0.58,0.2,115.91,0.25,0.36,0.57,0.54,0.2
