,Team,PTS,FG,FGA,2PA,3P,3PA,eFG%,Home/Away,ORtg,FTr,3PAr,TS%,FT/FGA,ORtg_opponent,FTr_opponent,3PAr_opponent,TS%_opponent,eFG%_opponent,FT/FGA_opponent
0,ATL,118.43,44.61,92.37,61.82,10.76,30.55,0.54,,117.45,0.25,0.33,0.58,0.2,117.16,0.26,0.37,0.59,0.55,0.21
1,BOS,117.94,42.2,88.76,46.17,16.04,42.59,0.57,,118.98,0.25,0.48,0.6,0.2,112.28,0.24,0.37,0.56,0.53,0.18
2,BRK,113.35,41.45,85.1,51.3,12.78,33.79,0.56,,116.07,0.26,0.4,0.6,0.21,115.07,0.28,0.36,0.57,0.53,0.21
3,CHI,113.12,42.54,86.78,57.91,10.41,28.87,0.55,,114.52,0.25,0.33,0.59,0.2,113.16,0.25,0.43,0.58,0.55,0.2
4,CHO,110.95,41.28,90.4,57.85,10.74,32.55,0.52,,109.86,0.26,0.36,0.55,0.2,116.14,0.27,0.38,0.58,0.55,0.21
5,CLE,112.26,41.56,85.17,53.6,11.59,31.57,0.56,,117.3,0.27,0.37,0.59,0.21,111.69,0.27,0.37,0.57,0.54,0.21
6,DAL,114.22,40.04,84.26,43.26,15.2,41.0,0.57,,117.63,0.3,0.49,0.6,0.23,117.57,0.29,0.37,0.59,0.55,0.23
7,DEN,115.79,43.59,86.44,55.23,11.82,31.21,0.57,,118.38,0.26,0.36,0.6,0.2,115.05,0.26,0.38,0.58,0.54,0.2
8,DET,110.3,39.56,87.07,54.65,11.39,32.43,0.52,,111.35,0.3,0.37,0.56,0.23,119.68,0.3,0.38,0.6,0.56,0.23
9,GSW,118.94,43.15,90.16,46.99,16.62,43.17,0.57,,117.09,0.23,0.48,0.6,0.18,115.34,0.28,0.39,0.58,0.54,0.22
10,HOU,110.74,40.6,88.87,56.93,10.44,31.94,0.52,,112.15,0.29,0.36,0.55,0.22,120.16,0.28,0.44,0.6,0.57,0.22
11,IND,116.28,42.0,89.57,52.62,13.56,36.95,0.55,,115.65,0.27,0.41,0.58,0.21,118.81,0.29,0.37,0.6,0.56,0.23
12,LAC,113.59,41.1,86.09,52.73,12.7,33.35,0.55,,115.91,0.28,0.39,0.59,0.22,115.4,0.26,0.38,0.58,0.54,0.2
13,LAL,117.17,42.88,89.0,57.8,10.79,31.2,0.54,,115.31,0.3,0.35,0.58,0.23,114.75,0.23,0.39,0.57,0.54,0.17
14,MEM,116.91,43.72,92.09,57.85,12.01,34.23,0.54,,116.01,0.26,0.37,0.57,0.19,112.07,0.26,0.41,0.57,0.53,0.21
15,MIA,109.48,39.21,85.26,50.48,11.95,34.78,0.53,,113.99,0.27,0.41,0.58,0.23,114.4,0.26,0.43,0.6,0.56,0.2
16,MIL,116.94,42.73,90.38,50.06,14.84,40.32,0.56,,116.13,0.25,0.45,0.58,0.19,112.64,0.23,0.37,0.55,0.52,0.18
17,MIN,115.78,42.87,87.4,54.1,12.16,33.3,0.56,,114.52,0.27,0.38,0.59,0.21,114.5,0.3,0.38,0.58,0.54,0.23
18,NOP,114.37,42.04,87.56,57.46,10.96,30.1,0.54,,115.27,0.28,0.34,0.58,0.22,113.38,0.28,0.42,0.58,0.54,0.22
19,NYK,116.02,42.0,89.37,53.63,12.65,35.73,0.54,,118.86,0.29,0.4,0.58,0.22,115.83,0.27,0.41,0.58,0.54,0.21
20,OKC,117.48,43.09,92.56,58.45,12.13,34.11,0.53,,115.92,0.26,0.37,0.57,0.21,114.9,0.29,0.41,0.59,0.55,0.22
21,ORL,111.41,40.52,86.27,55.16,10.77,31.11,0.53,,112.42,0.29,0.36,0.57,0.23,115.0,0.27,0.43,0.59,0.55,0.21
22,PHI,115.22,40.82,83.78,51.16,12.62,32.62,0.56,,118.87,0.3,0.39,0.61,0.25,114.52,0.28,0.39,0.58,0.54,0.22
23,PHO,113.65,42.11,90.1,57.49,12.21,32.61,0.54,,116.06,0.24,0.36,0.57,0.19,113.94,0.3,0.37,0.58,0.53,0.24
24,POR,113.4,40.45,85.38,50.1,12.88,35.28,0.55,,115.72,0.29,0.41,0.59,0.23,119.83,0.28,0.38,0.6,0.56,0.22
25,SAC,120.71,43.57,88.2,50.88,13.76,37.32,0.57,,119.97,0.29,0.42,0.61,0.23,117.48,0.26,0.38,0.6,0.56,0.2
26,SAS,113.04,43.09,92.6,60.4,11.11,32.2,0.53,,111.11,0.23,0.35,0.56,0.17,120.96,0.26,0.36,0.61,0.58,0.2
27,TOR,112.85,41.88,91.33,59.3,10.73,32.02,0.52,,116.36,0.26,0.35,0.56,0.2,114.86,0.28,0.4,0.6,0.57,0.23
28,UTA,117.07,42.5,89.82,52.02,13.34,37.79,0.55,,116.41,0.27,0.42,0.58,0.21,117.43,0.27,0.38,0.58,0.54,0.21
29,WAS,113.16,42.15,86.91,55.2,11.28,31.72,0.55,,115.21,0.26,0.36,0.59,0.21,116.49,0.25,0.37,0.58,0.54,0.2
